Energy Usage Information,,
,,
,,
Meter Reading Information,,
Type of readings: Electricity,,
,,
Summary of Electric Power Usage Information*,,
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. ",,
,,
Detailed Usage,,
Start date: 2019-09-30 23:00:00  for 123 days,,
,,
Data for period starting: 2019-10-01 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-01 00:00:00 to 2019-10-01 01:00:00,1.32,
2019-10-01 01:00:00 to 2019-10-01 02:00:00,1.473,
2019-10-01 02:00:00 to 2019-10-01 03:00:00,2.543,
2019-10-01 03:00:00 to 2019-10-01 04:00:00,2.27,
2019-10-01 04:00:00 to 2019-10-01 05:00:00,1.61,
2019-10-01 05:00:00 to 2019-10-01 06:00:00,1.32,
2019-10-01 06:00:00 to 2019-10-01 07:00:00,1.367,
2019-10-01 07:00:00 to 2019-10-01 08:00:00,1.757,
2019-10-01 08:00:00 to 2019-10-01 09:00:00,1.433,
2019-10-01 09:00:00 to 2019-10-01 10:00:00,1.353,
2019-10-01 10:00:00 to 2019-10-01 11:00:00,1.297,
2019-10-01 11:00:00 to 2019-10-01 12:00:00,1.223,
2019-10-01 12:00:00 to 2019-10-01 13:00:00,1.413,
2019-10-01 13:00:00 to 2019-10-01 14:00:00,1.787,
2019-10-01 14:00:00 to 2019-10-01 15:00:00,1.59,
2019-10-01 15:00:00 to 2019-10-01 16:00:00,1.323,
2019-10-01 16:00:00 to 2019-10-01 17:00:00,1.553,
2019-10-01 17:00:00 to 2019-10-01 18:00:00,1.603,
2019-10-01 18:00:00 to 2019-10-01 19:00:00,1.637,
2019-10-01 19:00:00 to 2019-10-01 20:00:00,2.037,
2019-10-01 20:00:00 to 2019-10-01 21:00:00,4.23,
2019-10-01 21:00:00 to 2019-10-01 22:00:00,3.943,
2019-10-01 22:00:00 to 2019-10-01 23:00:00,3.807,
2019-10-01 23:00:00 to 2019-10-02 00:00:00,3.607,
,,
Data for period starting: 2019-10-02 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-02 00:00:00 to 2019-10-02 01:00:00,1.7,
2019-10-02 01:00:00 to 2019-10-02 02:00:00,1.35,
2019-10-02 02:00:00 to 2019-10-02 03:00:00,1.523,
2019-10-02 03:00:00 to 2019-10-02 04:00:00,1.737,
2019-10-02 04:00:00 to 2019-10-02 05:00:00,1.26,
2019-10-02 05:00:00 to 2019-10-02 06:00:00,1.2,
2019-10-02 06:00:00 to 2019-10-02 07:00:00,1.23,
2019-10-02 07:00:00 to 2019-10-02 08:00:00,1.487,
2019-10-02 08:00:00 to 2019-10-02 09:00:00,1.407,
2019-10-02 09:00:00 to 2019-10-02 10:00:00,2.303,
2019-10-02 10:00:00 to 2019-10-02 11:00:00,1.883,
2019-10-02 11:00:00 to 2019-10-02 12:00:00,1.677,
2019-10-02 12:00:00 to 2019-10-02 13:00:00,1.397,
2019-10-02 13:00:00 to 2019-10-02 14:00:00,1.313,
2019-10-02 14:00:00 to 2019-10-02 15:00:00,1.333,
2019-10-02 15:00:00 to 2019-10-02 16:00:00,1.243,
2019-10-02 16:00:00 to 2019-10-02 17:00:00,1.41,
2019-10-02 17:00:00 to 2019-10-02 18:00:00,1.177,
2019-10-02 18:00:00 to 2019-10-02 19:00:00,1.23,
